Shear-Relative Angle,Low-Level Mean Flow-Relative Angle,Updraft Depth,Updraft Bottom Altitude,Updraft Top Altitude,Upraft Vertical Velocity,Circulation Classification,Updraft Radius,Updraft Normalized Radius
112.7183,195.6909,4,3.5,7.5,1.597667,4,141.8252,3.2233
68.70948,151.682,3,3.5,6.5,1.683421,2,46.31718,1.052663
282.0825,5.055084,4,4,8,1.561045,2,71.03512,1.614434
283.019,5.991516,2,4,6,1.58,1,110.7093,2.51612
303.9581,26.93063,2,4,6,1.67037,2,70.02263,1.591423
262.7119,345.6844,5.5,5,10.5,2.160481,2,17.71463,0.4026052
90.86617,173.8387,3.5,5.5,9,1.825942,2,27.00463,0.6137417
271.5872,354.5597,2,8.5,10.5,1.54,2,89.10212,2.025048
40.79163,123.7642,2,8.5,10.5,1.864,2,14.49745,0.3294875
284.6925,7.665039,1.5,9,10.5,1.486667,2,95.15711,2.162662
119.487,202.4596,12.5,0,12.5,2.313854,4,47.13872,1.071334
163.369,246.3416,12.5,0,12.5,2.453532,1,14.86338,0.3378041
239.9568,322.9293,1.5,1,2.5,1.603,1,48.65601,1.105818
50.09773,133.0703,8,1,9,2.102475,3,122.9613,2.794574
111.6668,194.6393,2,1.5,3.5,1.584,2,52.80152,1.200034
56.8811,139.8536,2,1.5,3.5,2.506,1,33.06755,0.7515354
244.2055,327.178,1.5,2,3.5,1.606,1,46.44129,1.055484
338.0268,60.99936,2.5,2,4.5,1.705667,1,51.02676,1.159699
147.6948,230.6674,1.5,2.5,4,1.506,2,97.80864,2.222924
225.7941,308.7666,3,2,5,2.023333,1,41.14679,0.9351543
92.98442,175.957,1.5,2.5,4,1.642857,1,74.68421,1.697369
167.6511,250.6236,4,3,7,1.915714,2,117.0169,2.659476
155.9619,238.9345,4,3,7,1.694203,2,104.1678,2.36745
56.00615,138.9787,1.5,3.5,5,1.778,1,64.0657,1.456039
209.2914,292.2639,15,1.5,16.5,2.804129,1,15.77824,0.3585963
322.1107,45.08322,2,6,8,1.765833,2,26.39167,0.5998108
56.83281,139.8054,3.5,9.5,13,2.272846,2,72.19437,1.640781
169.3822,267.7737,13.5,0,13.5,3.199396,2,45.9161,1.043548
179.661,278.0525,16,0,16,2.97192,2,16.86812,0.3833663
237.7587,336.1501,12,0.5,12.5,2.198143,2,51.21562,1.163991
137.7263,236.1178,4,1,5,1.79,2,86.703,1.970523
